text,label_1,label_2,label_3
"bedankt, minister",1,1,1
 in verband met die voorbeeldfunctie van de vlaamse overheid is er natuurlijk de kwestie van de lokale overheden,0,-1,0
" dat zou betekenen dat we zorgen voor een belastingverlaging, en dat we niet alleen dat, maar ook die vergroening, de uiteindelijke bedoeling van de hervorming, zouden bereiken",1,1,1
dat zal gebeuren via de stichting ecorise die tien of twaalf projecten - we moeten ze nog selecteren - zal onderzoeken,1,1,0
 brussel kan niet zonder de luchthaven,0,1,0
 de commissie wijst op het belang van een goede waterkwaliteit voor de menselijke gezondheid,1,1,1
" het adaptatieplan, het mitigatieplan zal in januari worden besproken op de ministerraad",0,1,0
"   mijnheer de minister, mijn vraag is dan ook om er, bij het omgaan met het resultaat van datgene wat nu door de europese commissie naar voren wordt gebracht, toch ten zeerste over te waken dat dit niet leidt tot het verloren gaan van banen in de petrochemische sector",1,1,0
 in veel natuurgebieden zit er te veel stikstof,-1,-1,-1
ten tweede gaat het over wat we gaan doen,0,1,0
 het is goed dat we voortdurend nieuwe technologieën ontwikkelen die het leven gemakkelijker en properder maken,1,1,1
" ik denk dat de opleiding voor het toekennen van een jachtbrevet streng is en niet streng genoeg kan zijn, zeker als het gaat over veiligheid",1,1,1
"mijnheer schiltz, het klopt dat er nog altijd geen akkoord is over de verdeling van de opbrengsten van de veiling van emissierechten",-1,-1,-1
"   mijnheer caron, het plan-mer is een belangrijk document voor de afweging",0,1,0
" minister-president, ik denk dat u dat niet goed beseft",-1,-1,-1
 en dat is volgens ons het euvel om te versnellen,0,-1,-1
 ik verwacht dat het principe de vervuiler betaalt hierin wordt onderschreven,0,1,0
 het is mogelijk de grootste motor van tewerkstelling van de toekomst,0,1,0
 u hebt me in het verleden al veel vragen over de vmw gesteld,0,-1,-1
" maar net omdat we zagen dat er geen beweging in zat, kunnen we niet anders dan aan mensen die een woning kopen, te vragen om die ook te renoveren",0,-1,-1
"mijnheer sanctorum, ik had verwacht dat u zou vragen hoe ver het staat met het intra-belgisch akkoord",-1,-1,-1
"ik denk dat de app een goed instrument is, maar we moeten de app en de resultaten kaderen in wat het is",0,1,0
 de eerste principi&euml;le goedkeuring daarvan komt er vanavond,1,1,1
 we rapporteren daar al tien jaar over aan de europese commissie,0,-1,-1
" het feit dat dan excuses worden gebruikt als verkeersveiligheid enzovoort om de jachtwetgeving te versoepelen, dat vind ik nogal storend, zeker als ik hoor wat er allemaal in de steigers wordt gezet als het gaat over de aanpassing van de wapenwetgeving",-1,-1,-1
 vorig jaar heeft de vlaamse regering inderdaad het jachtvoorwaardenbesluit gewijzigd,0,-1,0
" dat was niet de eerste keer, maar de twaalfde keer dit jaar",-1,-1,-1
 het is echt nodig dat de bestaande rioleringen meer worden ge&iuml;nspecteerd,0,1,0
" dus, alstublieft minister, ik meen dat hier meer dan een tandje moet worden bij gestoken",0,-1,0
"   dat ligt nu al anderhalf jaar compleet stil: er komen geen studies meer, er worden geen onderzoeken meer gedaan, er worden geen publicaties meer op de markt gebracht",0,-1,-1
 dat geeft gewoon een indicatie weer,0,0,0
" nu gaat het over broeikasgassen, vorige week hadden we het nog over de oppervlaktewateren en de rode meetpunten",0,-1,0
enkele weken geleden heb ik u een aantal foutieve staalnames toegestuurd,-1,-1,0
" en dat kunnen we enkel doen met haalbare doelstellingen, en niet met te ambitieuze doelstellingen",1,1,0
 daarom heb ik een blaadje mee: dit is immers zo complex dat men bijna niet meer weet hoe het zit,0,-1,-1
" ofwel moet men opnieuw bomen aanplanten, ofwel moet men een bedrag betalen dat in het boscompensatiefonds terechtkomt en uiteindelijk dient voor heraanplanting",0,1,0
 het getuigt van geen goed bestuur de stad antwerpen toe te laten om vanaf maart alles opnieuw in de witte zak te stoppen,0,-1,-1
"minister, ik denk dat we op een andere manier te werk moeten gaan",0,0,-1
 u noemt daar de doelstellingen van de klimaatwetenschappers luchtkastelen en opbod,0,-1,-1
" maar meer is mogelijk en meer zou eigenlijk nodig zijn, minister",0,-1,-1
" we zullen echter andere maatregelen nemen dan degene die u hier aanhaalt, maar die u tijdens de vorige legislatuur niet hebt doorgevoerd",-1,-1,-1
" ten derde, ik ben natuurlijk ook bevoegd voor omgeving",0,1,0
 over de grootste en de belangrijkste punten in een nieuw map kan eensgezindheid ontstaan,1,1,1
"minister, u weet ongetwijfeld dat het anb een digitale campagne is gestart: doe de #natuurmove",0,1,0
"in 2002 moesten we 0,8 percent hernieuwbare energie halen",0,0,0
 de discussie gaat over de randvoorwaarden,0,0,0
"minister, gezondheid is het allerbelangrijkste in een mensenleven",0,1,0
 het zal gaan over de financieringswet,0,0,0
 ik heb het echter ook over de federale bevoegdheden,0,0,0
" u doet nu een beetje alsof het ons allemaal overkomt, maar u moet toegeven dat logistiek een van de speerpunten is van deze vlaamse regering",0,-1,-1
" het is een gemiste kans dat u daar niet voor gestemd hebt, mijnheer tobback",-1,-1,-1
 de economische situatie op en rond zaventem is absoluut niet dramatisch,1,1,1
 we hebben dit nog niet besproken,0,-1,0
" laten we het debat breed houden, en misschien richting de volgende legislatuur kijken",0,1,0
de heer decaluwe kan een provincie in zijn gedachten hebben waar men inderdaad stappen heeft gezet,0,1,0
 u noemt daar de doelstellingen van de klimaatwetenschappers luchtkastelen en opbod,0,-1,-1
omgezet naar absolute waarden zou het om 250 tot 350 kiloton co2 gaan; dit komt overeen met 5 procent van de kyotodoelstelling,0,0,0
 dat is dus ok&eacute;,0,0,0
 nadien hebben we via de vlaamse waterweg een extern bureau aangesteld voor de bevaarbare waterlopen om te kijken wat een grondigere analyse als conclusie zou brengen in het kader van het wat-alsscenario,0,1,0
 ik ben ervan overtuigd dat op die lijn uiteindelijk ook een resultaat moet worden geboekt,0,1,1
" in afwachting van de uitvoering zijn de leefbaarheidsprojecten, de verkeersmaatregelen om de doorstroming en de verkeersveiligheid te verbeteren, belangrijk",0,1,0
 voor de goede orde wil ik benadrukken dat die decibelschaal een logaritmische schaal is,0,0,0
" de raad is een tegenstander van de stilzwijgende vergunning, wegens de schending van de motiveringsplicht",0,-1,0
  ik geef drie voorbeelden over de perceptie van de maatregel vanochtend,0,-1,0
" de bedoeling is dat we met die acties niet alleen naar particulieren gaan, maar ook naar natuurverenigingen en landbouwverenigingen",0,1,0
" maar daarbij zeggen we nu dat we misschien beter eerst stroomopwaarts kunnen investeren, en daar vooral willen zorgen dat de voeten van de mensen droog blijven",0,1,0
"collega beenders, het debat over de lekken in de waterleidingen hebben we in de commissie al gevoerd",0,-1,-1
 ik kan dat aan de mensen niet langer uitgelegd krijgen,-1,-1,-1
" maar het voordeel van zon bosbeheersplan, waarbij je ook de toegankelijkheid moet meenemen, is dat dat ervoor zorgt dat je daar ook actief over moet nadenken",0,1,1
 het is positief wat er in het glb staat,1,1,1
" ze zorgt ervoor dat het op een goede, correcte wijze gebeurt",1,1,1
 we moeten kiezen voor een landbouw die ook door europa wordt gepropageerd,0,1,0
 ik roep op om te investeren in echt duurzame energie,0,1,0
" er is nogal wat koudwatervrees bij de landbouw, maar het is net de bedoeling dat die vergroeningsmaatregelen genomen worden om de problematiek van de bijenpopulatie aan te pakken",0,1,0
 daarin zitten maatregelen,0,-1,1
 dat is hallucinant,0,-1,-1
